id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3,fitness2.5
17942,5,5,-2.95668,NA,3121.491,NA,NA,NA,NA
18006,5,5,-3.96981,2817.063,NA,NA,NA,NA,NA
18328,4.802,5,-2.7992,NA,1252.308,NA,NA,NA,NA
18527,5,5,-2.27197,NA,556.106,NA,NA,NA,NA
18758,5,4.91999,-1.35156,NA,NA,5929.312,NA,NA,NA
18913,4.95798,5,-1.18555,NA,NA,NA,NA,1644.278,NA
19120,5,5,-1.01741,NA,6346.965,NA,NA,NA,NA
19321,4.38209,5,-1.19576,NA,2222.403,NA,NA,NA,NA
19442,4.08463,4.85822,-0.934296,2483.319,NA,NA,NA,NA,NA
19715,4.88631,4.59672,-0.88143,NA,NA,NA,NA,190.175,NA
19846,5,5,-1.42788,NA,NA,NA,NA,2871.787,NA
20122,5,4.6546,-1.045,NA,3560.169,NA,NA,NA,NA
20315,4.16266,5,-1.24499,NA,3524.806,NA,NA,NA,NA
20466,3.46875,4.86924,-1.58927,NA,1577.701,NA,NA,NA,NA
20667,5,5,-3.17412,NA,1698.301,NA,NA,NA,NA
20893,5,5,-3.76662,NA,567.369,NA,NA,NA,NA
21070,5,4.80964,-5,NA,3313.764,NA,NA,NA,NA
21382,5,5,-3.07908,NA,2915.062,NA,NA,NA,NA
21409,5,4.7004,-2.11037,NA,4387.659,NA,NA,NA,NA
21665,5,5,-1.92,NA,4753.276,NA,NA,NA,NA
21988,4.87115,5,-2.00552,NA,7386.467,NA,NA,NA,NA
22080,5,3.39258,-1.96604,NA,NA,921.305,NA,NA,NA
22253,5,5,-0.956549,NA,9419.228,NA,NA,NA,NA
22480,5,4.37763,-1.23018,NA,3224.596,NA,NA,NA,NA
22602,5,4.70778,-0.256516,NA,NA,4165.664,NA,NA,NA
22933,4.96855,5,-0.652326,NA,NA,2869.116,NA,NA,NA
23095,4.76324,5,-0.738484,NA,14859.226,NA,NA,NA,NA
