id,x0,x1,x2,fitness7.5,fitness7,fitness8,fitness6,fitness8.5,fitness6.5,fitness9,fitness5,fitness4.5,fitness4,fitness3.5,fitness9.5,fitness10,fitness5.5,fitness2.5,fitness10.5,fitness2
8900,7.17975,3.74318,7.10249,NA,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9074,8.23553,5.45991,7.14781,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9355,7.69892,6.93311,7.65362,NA,NA,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9472,8.38587,7.67331,8.6077,NA,NA,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9646,8.93867,7.31112,9.26178,NA,NA,NA,NA,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9968,9.17923,7.20481,8.38713,0.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10005,8.84258,7.83975,9.11235,NA,NA,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10260,9.00747,8.62191,8.48591,NA,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10449,8.42481,7.47262,8.01107,NA,NA,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10665,7.84379,7.82114,7.95388,0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10947,7.92958,7.26383,7.45768,NA,NA,NA,NA,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11161,8.96674,8.20517,8.47811,NA,NA,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11252,9.15615,8.52838,7.61248,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11483,8.21185,8.20332,7.9949,NA,NA,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11693,8.08423,6.66231,8.37594,NA,NA,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11981,7.60058,6.8001,8.36846,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12192,7.34252,6.70136,8.24495,NA,NA,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12254,7.83326,8.96134,8.17393,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12453,7.55193,7.59406,9.14092,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12672,7.91071,7.56088,8.39325,NA,NA,NA,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12979,7.47594,8.08258,7.54412,NA,NA,NA,NA,NA,NA,NA,NA,0.938,NA,NA,NA,NA,NA,NA,NA,NA
13195,7.47053,7.51524,8.61924,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.747,NA,NA,NA,NA,NA,NA,NA
13366,8.17297,7.87393,8.46967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631,NA,NA,NA,NA,NA,NA
13507,7.53754,7.77785,8.53172,NA,NA,NA,0.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13743,6.83549,7.84994,7.92391,NA,NA,NA,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13932,7.50107,7.43785,7.60697,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14066,8.00207,7.19303,8.63504,NA,0.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14287,6.59826,7.50487,8.63231,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14471,7.65852,6.72544,7.60059,NA,NA,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14702,8.97542,8.4504,8.46382,NA,NA,NA,NA,0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14962,9.15794,7.78729,8.95584,0.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15045,6.73528,8.05026,8.15263,NA,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15245,6.77786,7.60047,7.34427,NA,NA,NA,NA,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15541,9.27034,8.6054,6.93386,NA,NA,NA,NA,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15729,8.73388,8.46298,7.44121,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15966,8.8076,7.65159,8.8749,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16109,8.18086,8.15741,8.22105,NA,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16224,7.29659,6.13411,8.39669,0.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16543,7.92879,7.77937,7.53389,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16697,8.63787,8.17012,7.20755,NA,NA,NA,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16993,9.56402,7.34171,6.61318,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17010,7.89418,8.76366,7.64328,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17315,8.12533,7.75358,8.25003,NA,NA,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17441,7.37297,8.05113,7.32942,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17601,7.19514,7.95716,8.13745,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17844,8.04042,8.06296,8.33431,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001,7.57128,7.66895,7.10277,NA,NA,NA,NA,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18292,7.986,6.86817,6.70639,NA,NA,NA,NA,0.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18571,8.27594,7.14481,7.68386,NA,NA,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18711,7.80623,6.34324,7.68014,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18920,8.06313,7.57873,8.38558,NA,NA,NA,NA,NA,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19007,6.85168,8.28294,7.03891,0.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19334,7.20743,7.78983,7.53404,NA,NA,NA,NA,NA,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19476,7.6945,9.09783,8.21199,NA,NA,NA,NA,NA,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19760,7.46408,8.41806,8.86302,NA,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19954,8.13107,7.25511,7.51716,NA,0.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170,6.97274,6.89632,7.88569,NA,NA,NA,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20395,6.91449,7.0276,8.09415,0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20581,7.36007,7.76947,9.03498,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20736,6.64292,6.60789,8.81899,NA,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20990,7.63265,7.53854,8.32045,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21115,8.32252,6.57579,6.82358,0.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21392,8.05443,7.57583,6.68787,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21481,7.47648,9.25665,6.89022,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21654,7.75591,8.51008,7.72183,NA,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21888,7.43714,8.2419,8.43766,NA,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22181,7.30714,7.76826,8.8192,0.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22255,8.02752,6.60503,7.94191,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22537,7.01295,5.81786,7.43487,NA,NA,0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22748,7.49074,6.46751,7.63678,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22863,7.87029,6.72737,7.2279,NA,NA,NA,NA,NA,NA,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
