id,x0,x1,x2,fitness8,fitness7.5,fitness6.5,fitness9,fitness7,fitness8.5,fitness9.5,fitness6,fitness5
13693,7.27559,7.28007,7.05303,NA,NA,NA,NA,0.686,NA,NA,NA,NA
13912,7.288,7.73554,7.56104,NA,NA,NA,NA,0.803,NA,NA,NA,NA
14078,7.75358,7.97705,6.74289,0.755,NA,NA,NA,NA,NA,NA,NA,NA
14228,7.33282,7.93518,7.47719,NA,0.939,NA,NA,NA,NA,NA,NA,NA
14491,7.21787,8.86942,8.35395,0.643,NA,NA,NA,NA,NA,NA,NA,NA
14791,7.70718,7.99192,7.5551,NA,0.979,NA,NA,NA,NA,NA,NA,NA
14849,8.5812,8.32549,8.63365,0.626,NA,NA,NA,NA,NA,NA,NA,NA
15049,8.38428,8.72861,8.41778,NA,0.65,NA,NA,NA,NA,NA,NA,NA
15292,8.97713,8.67665,7.6633,NA,0.601,NA,NA,NA,NA,NA,NA,NA
15594,8.7301,7.14881,6.54043,NA,0.492,NA,NA,NA,NA,NA,NA,NA
15652,7.87461,8.35586,8.01825,NA,0.896,NA,NA,NA,NA,NA,NA,NA
16000,7.80398,8.15366,7.27049,NA,0.902,NA,NA,NA,NA,NA,NA,NA
16024,7.76467,7.05255,7.62969,NA,0.862,NA,NA,NA,NA,NA,NA,NA
16294,7.75742,7.91853,7.09042,NA,0.908,NA,NA,NA,NA,NA,NA,NA
16437,8.73051,7.8725,7.13219,NA,NA,NA,NA,NA,0.665,NA,NA,NA
16710,7.77206,7.29364,7.40936,NA,NA,NA,NA,NA,0.824,NA,NA,NA
16855,7.46753,8.68389,7.56168,0.816,NA,NA,NA,NA,NA,NA,NA,NA
17111,8.14971,9.21899,7.72696,NA,0.615,NA,NA,NA,NA,NA,NA,NA
17365,7.19431,8.1558,8.26597,NA,NA,0.641,NA,NA,NA,NA,NA,NA
17548,7.79927,7.53623,8.27518,NA,NA,NA,NA,0.754,NA,NA,NA,NA
17724,7.74942,8.4694,8.15991,NA,NA,NA,NA,NA,0.704,NA,NA,NA
17827,6.73655,8.51066,8.5385,NA,NA,NA,NA,0.478,NA,NA,NA,NA
18182,6.62623,8.39973,7.32444,NA,NA,NA,NA,0.598,NA,NA,NA,NA
18298,6.56064,7.88093,6.73102,NA,0.531,NA,NA,NA,NA,NA,NA,NA
18418,7.96957,6.80298,8.25533,NA,0.754,NA,NA,NA,NA,NA,NA,NA
18659,8.31422,7.4129,7.27445,NA,0.863,NA,NA,NA,NA,NA,NA,NA
18910,8.22177,7.87837,7.40265,NA,NA,NA,NA,0.864,NA,NA,NA,NA
19006,8.99785,7.69647,8.09774,NA,0.723,NA,NA,NA,NA,NA,NA,NA
19206,7.75023,7.31742,8.01958,NA,NA,NA,NA,0.883,NA,NA,NA,NA
19448,6.62916,8.04718,8.02467,NA,0.7,NA,NA,NA,NA,NA,NA,NA
19633,7.25048,7.38925,8.64228,NA,0.785,NA,NA,NA,NA,NA,NA,NA
19979,7.63172,8.56879,8.14726,NA,0.821,NA,NA,NA,NA,NA,NA,NA
20055,7.05704,8.36929,8.46565,0.725,NA,NA,NA,NA,NA,NA,NA,NA
20353,7.49423,7.43167,8.0579,0.946,NA,NA,NA,NA,NA,NA,NA,NA
20551,7.36861,8.06529,8.26988,NA,NA,NA,NA,NA,0.763,NA,NA,NA
20648,7.26892,7.99239,7.60843,0.94,NA,NA,NA,NA,NA,NA,NA,NA
20848,7.74363,8.48746,7.25475,NA,NA,NA,NA,NA,0.764,NA,NA,NA
