id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3
19619,-0.699864,4.94535,5,NA,13930.09,NA,NA,NA
19875,-0.866736,4.79307,5,NA,15655.36,NA,NA,NA
20077,-0.657521,4.81419,4.74905,NA,15108.299,NA,NA,NA
20351,-0.797924,5,4.66625,NA,10516.588,NA,NA,NA
20411,-0.988508,5,5,NA,7892.2,NA,NA,NA
20608,0.224198,5,5,NA,2460.16,NA,NA,NA
20884,-0.752067,5,5,NA,12702.644,NA,NA,NA
21103,-2.19645,4.72153,5,NA,2727.078,NA,NA,NA
21356,-1.97712,4.99058,5,NA,5687.129,NA,NA,NA
21529,-0.856562,4.95633,5,NA,14723.312,NA,NA,NA
21700,-0.73567,4.84535,5,NA,16529.327,NA,NA,NA
21988,-0.859032,5,5,6179.775,NA,NA,NA,NA
22054,-2.18417,5,5,NA,2918.106,NA,NA,NA
22297,-3.00867,4.97101,4.85184,NA,4851.781,NA,NA,NA
22585,-1.89708,5,5,NA,4276.726,NA,NA,NA
22711,0.249245,5,5,NA,2862.816,NA,NA,NA
22821,-0.157416,5,4.36286,NA,4107.969,NA,NA,NA
23149,-0.923008,4.81817,4.73117,NA,15282.241,NA,NA,NA
23204,-0.817176,5,5,NA,13014.031,NA,NA,NA
23450,-0.742145,5,5,NA,12543.511,NA,NA,NA
23725,-0.940101,4.67407,4.72954,NA,9203.573,NA,NA,NA
23834,-0.974565,4.92397,5,NA,10817.017,NA,NA,NA
24026,-1.57379,5,4.2077,NA,5102.037,NA,NA,NA
24381,-1.62311,4.86863,5,5725.487,NA,NA,NA,NA
24484,-0.579045,4.58474,5,NA,2499.505,NA,NA,NA
24694,-0.71092,4.77864,4.89509,NA,19147.598,NA,NA,NA
24869,-1.0104,5,5,NA,6734.221,NA,NA,NA
25066,-0.65408,4.99905,4.74672,NA,11425.752,NA,NA,NA
25314,-0.816286,5,5,NA,13018.555,NA,NA,NA
25553,-0.861517,4.99675,5,NA,12662.543,NA,NA,NA
25643,-2.41791,5,4.312,NA,1870.466,NA,NA,NA
25941,-1.63965,5,3.24261,2438.938,NA,NA,NA,NA
26174,-0.864224,5,5,NA,12427.317,NA,NA,NA
26209,-0.916887,5,5,NA,10990.955,NA,NA,NA
26575,-1.45614,5,5,6408.307,NA,NA,NA,NA
26741,-0.785133,5,4.72553,NA,14329.96,NA,NA,NA
26899,-0.944885,5,5,NA,9921.255,NA,NA,NA
27004,-0.649048,4.86553,4.77238,NA,15847.599,NA,NA,NA
27276,-0.719997,5,5,NA,12087.436,NA,NA,NA
27560,-1.6714,4.66193,3.32778,NA,1286.846,NA,NA,NA
27623,-0.605638,5,5,NA,7856.7,NA,NA,NA
27808,-0.420904,5,3.37846,NA,548.642,NA,NA,NA
28086,-0.195417,5,4.35793,NA,4276.24,NA,NA,NA
28335,-0.689012,4.81246,5,NA,14587.317,NA,NA,NA
28480,-0.547105,4.99365,5,NA,5006.953,NA,NA,NA
28624,-1.50332,4.32242,5,NA,6581.395,NA,NA,NA
28982,-0.66949,4.84721,5,NA,14064.653,NA,NA,NA
29001,-0.53356,4.81866,4.84894,8121.299,NA,NA,NA,NA
29302,-0.338502,4.75523,4.30163,NA,3834.001,NA,NA,NA
29548,-0.594164,4.71354,5,NA,9795.852,NA,NA,NA
29693,-0.775236,4.72563,5,NA,18386.977,NA,NA,NA
29809,-1.00821,5,5,NA,6853.66,NA,NA,NA
30036,-2.12016,5,5,3831.827,NA,NA,NA,NA
30280,-0.698745,5,5,NA,11524.852,NA,NA,NA
30481,-0.851343,5,5,NA,12655.274,NA,NA,NA
