id,x0,x1,x2,fitness4.5,fitness4,fitness5,fitness3.5,fitness2.5,fitness3,fitness2,fitness0.5,fitness-1,fitness-1.5,fitness-2,fitness-3,fitness-2.5,fitness-0.5,fitness0,fitness1.5,fitness1,fitness-3.5,fitness-4,fitness-4.5,fitness-5
7337,-2.42313,3.31117,-1.8913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7531,-2.54781,4.22407,0.203834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7608,-4.40516,3.9962,-0.196776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.924,NA,NA,NA,NA,NA,NA,NA,NA
7963,-1.82966,4.33373,0.987502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.962,NA,NA,NA,NA,NA,NA,NA
8120,-2.13545,3.73269,0.838673,NA,NA,NA,NA,NA,NA,NA,NA,NA,740.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8248,-0.944564,4.16464,0.953573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1726.241,NA,NA,NA,NA,NA,NA,NA
8584,-0.572176,4.76941,0.748525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2097.47,NA,NA,NA,NA,NA,NA,NA
8625,-0.328566,3.73063,2.46946,NA,NA,NA,NA,NA,NA,NA,NA,91.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8815,-0.830478,4.50815,3.02854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.757,NA,NA,NA,NA,NA,NA,NA
9021,-2.15938,2.97272,4.07018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.505,NA,NA,NA,NA,NA,NA,NA
9241,-2.60785,1.15191,4.99346,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9482,-2.84925,0.182312,4.06663,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9703,-2.35884,-0.341731,4.92229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.974,NA,NA,NA,NA,NA,NA,NA,NA,NA
9947,-2.55095,-0.485408,4.58007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.803,NA,NA,NA,NA,NA,NA,NA,NA
10061,-2.63559,-0.721529,1.18149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10207,-0.962302,-1.5683,-0.673271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6312.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10430,-2.95468,-0.92381,-0.640742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3649.124,NA,NA,NA,NA,NA,NA
10706,-0.90582,-1.65678,-3.49828,NA,NA,NA,NA,329.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10961,-0.239606,-2.1292,-2.99053,NA,NA,NA,405.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11102,0.0393842,-0.411796,-3.57325,NA,NA,NA,NA,NA,59.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11298,0.192944,-0.79434,-2.5147,NA,NA,NA,340.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11469,-0.924784,-1.19778,-1.97842,NA,NA,NA,920.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11606,-1.53502,-0.567688,-2.43557,NA,NA,NA,NA,NA,NA,255.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11991,-0.823068,-0.149019,-1.55717,NA,NA,NA,NA,2654.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12027,-1.28564,-0.449631,-1.22329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.349,NA,NA,NA,NA,NA
12232,-2.06189,-1.77612,-0.894213,NA,NA,NA,NA,NA,NA,NA,NA,60.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12545,-1.66071,-0.919559,-0.85213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10935.277,NA,NA,NA,NA,NA,NA,NA
12756,-0.538507,-1.27257,-1.16742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.761,NA,NA,NA,NA
12966,1.69116,-0.772729,-0.165726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972.333,NA,NA,NA,NA,NA,NA,NA
13008,2.24853,-1.26241,1.3631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13217,1.94767,-0.896687,2.51221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.087,NA,NA,NA,NA,NA,NA,NA,NA,NA
13539,2.05871,-0.988814,3.54006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA
13777,1.9738,-2.71187,3.29836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.812,NA,NA,NA,NA,NA,NA,NA,NA
13982,0.781564,-2.89611,4.92949,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14132,1.30606,-2.22788,4.58422,NA,NA,NA,NA,NA,NA,NA,NA,302.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14379,2.47434,-1.62447,4.18641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14416,3.09654,-3.29942,3.7168,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
