id,x0,x1,x2,fitness-2,fitness-4,fitness-3,fitness-5,fitness-4.5,fitness-3.5
16718,-1.25618,3.78108,-5,NA,-40.921,NA,NA,NA,NA
16917,-1.65723,4.16276,-5,NA,NA,NA,NA,-32.639,NA
17140,-2.10534,4.05025,-5,NA,NA,NA,-49.958,NA,NA
17275,-1.66125,3.6621,-5,NA,NA,NA,-48.098,NA,NA
17411,-1.52908,4.05521,-5,NA,NA,NA,NA,-20.308,NA
17631,-2.57437,3.37755,-4.88097,NA,NA,NA,NA,-47.965,NA
17980,-1.74479,4.0958,-4.82243,NA,NA,NA,-34.706,NA,NA
18053,-1.47997,3.75341,-5,NA,NA,NA,NA,-16.323,NA
18369,-1.91726,3.6694,-5,NA,NA,NA,NA,-27.178,NA
18600,-1.93531,3.62855,-5,NA,NA,NA,NA,-23.896,NA
18726,-1.56492,4.25,-4.76398,NA,NA,NA,-47.232,NA,NA
18939,-2.08958,3.91984,-5,NA,NA,NA,-41.748,NA,NA
19087,-1.51643,3.66142,-5,NA,NA,NA,-42.092,NA,NA
19399,-1.26354,4.77277,-5,NA,NA,NA,-73.348,NA,NA
19553,-1.24183,4.03019,-5,NA,NA,NA,-55.469,NA,NA
19745,-1.70092,3.58325,-5,NA,NA,NA,-42.891,NA,NA
19815,-1.864,3.42671,-4.94782,NA,NA,NA,-44.092,NA,NA
20154,-2.34704,4.05364,-5,NA,NA,NA,NA,-48.216,NA
20364,-2.05477,4.00662,-5,NA,NA,NA,-45.473,NA,NA
20567,-1.73061,3.57084,-4.88909,NA,NA,NA,NA,NA,-51.307
20605,-1.64211,3.48427,-5,NA,NA,NA,NA,-16.572,NA
20894,-2.08751,4.02552,-5,NA,NA,NA,-47.959,NA,NA
21064,-1.65215,4.15541,-5,NA,NA,NA,NA,-31.304,NA
21381,-1.3434,4.10156,-4.7034,NA,-34.29,NA,NA,NA,NA
21527,-1.78686,3.65922,-4.7523,NA,NA,NA,NA,-25.69,NA
21697,-2.50425,4.23179,-5,NA,NA,NA,NA,-54.232,NA
21905,-1.65359,4.10033,-5,NA,NA,NA,-40.921,NA,NA
22148,-1.28404,3.96594,-4.93496,NA,NA,NA,NA,-20.753,NA
22303,-2.50009,4.45104,-5,NA,NA,NA,-66.475,NA,NA
22542,-1.44763,4.04463,-5,NA,-44.924,NA,NA,NA,NA
22773,-1.46621,3.77845,-5,NA,NA,NA,-34.379,NA,NA
22944,-2.11463,3.42169,-4.55153,NA,NA,NA,NA,-49.927,NA
23200,-1.95846,2.94752,-4.88308,NA,NA,NA,-50.174,NA,NA
23277,-1.50312,3.73559,-4.99911,NA,-16.931,NA,NA,NA,NA
23498,-1.28163,4.02097,-5,NA,-27.765,NA,NA,NA,NA
23773,-2.32216,4.05886,-5,NA,NA,NA,NA,-48.004,NA
23829,-2.07886,3.93752,-5,NA,NA,NA,-37.517,NA,NA
24001,-1.48923,3.65827,-5,NA,NA,NA,NA,-3.166,NA
24261,-1.95871,3.59649,-5,NA,NA,NA,NA,-25.218,NA
24597,-1.72791,3.72145,-5,NA,NA,NA,-31.995,NA,NA
24690,-2.2914,4.05503,-5,NA,NA,NA,-52.821,NA,NA
24913,-2.95317,4.11516,-4.76035,NA,NA,NA,NA,-80.684,NA
25144,-1.88444,4.26959,-5,NA,NA,NA,-49.457,NA,NA
25349,-2.18199,3.81369,-5,NA,NA,NA,NA,-40.223,NA
25565,-1.44385,3.8909,-3.76834,NA,NA,NA,-70.603,NA,NA
25677,-1.89811,3.88925,-4.85469,NA,NA,NA,NA,-27.315,NA
25818,-1.85093,4.03854,-5,NA,-34.987,NA,NA,NA,NA
26160,-2.09711,3.46472,-5,NA,NA,NA,NA,-32.71,NA
26282,-2.0525,3.80707,-4.99495,NA,NA,NA,-35.203,NA,NA
26570,-1.4769,3.54405,-5,NA,NA,NA,NA,-6.539,NA
26749,-1.79657,3.73145,-4.7818,NA,NA,NA,NA,-14.227,NA
26933,-1.93797,4.28879,-5,NA,NA,NA,-60.005,NA,NA
27044,-2.00311,3.76244,-4.6332,NA,NA,NA,-42.304,NA,NA
27385,-1.39986,3.67856,-5,NA,NA,NA,-37.843,NA,NA
27564,-1.53896,3.71431,-4.81408,NA,NA,NA,NA,-15.08,NA
27616,-1.67065,3.90071,-4.87919,NA,NA,NA,-47.24,NA,NA
27834,-1.97783,4.25738,-5,NA,NA,NA,-48.892,NA,NA
28163,-1.22587,3.80172,-5,NA,NA,NA,NA,-14.949,NA
28341,-1.92071,3.17,-5,NA,NA,NA,NA,-46.189,NA
28483,-1.83774,3.91134,-5,NA,-29.338,NA,NA,NA,NA
28735,-1.50008,3.88303,-5,NA,NA,NA,-38.615,NA,NA
28895,-1.58872,4.15734,-5,NA,NA,NA,NA,-31.495,NA
29019,-2.16037,3.8037,-5,NA,NA,NA,-48.169,NA,NA
29299,-2.20556,3.53375,-4.65716,NA,-55.929,NA,NA,NA,NA
29555,-1.11509,3.8208,-5,NA,NA,NA,NA,-28.806,NA
29648,-1.78775,4.18918,-4.81193,NA,NA,NA,-37.963,NA,NA
29853,-1.9203,3.9447,-5,NA,NA,NA,-35.356,NA,NA
30099,-1.69214,3.81078,-5,NA,NA,NA,NA,-20.646,NA
30215,-1.58921,4.07123,-4.69099,NA,NA,NA,NA,-25.513,NA
30461,-1.9888,3.02785,-4.98553,NA,NA,NA,-57.077,NA,NA
30664,-1.63125,3.30742,-5,NA,NA,NA,-43.074,NA,NA
30944,-1.72739,3.45834,-4.9772,NA,NA,NA,-34.263,NA,NA
31129,-1.16811,3.94375,-4.88546,NA,NA,NA,-68.177,NA,NA
31221,-1.41662,3.47312,-5,NA,NA,NA,NA,-30.396,NA
31521,-1.87876,3.84783,-4.77745,NA,NA,NA,NA,-24.52,NA
31638,-1.67872,3.71237,-4.87638,NA,NA,NA,NA,-3.799,NA
31974,-2.07846,3.8823,-4.83335,NA,-35.292,NA,NA,NA,NA
32185,-1.53925,4.35857,-5,NA,-60.014,NA,NA,NA,NA
32240,-1.98004,5,-5,NA,NA,NA,NA,-72.012,NA
32421,-2.35533,4.52454,-5,NA,-64.482,NA,NA,NA,NA
32654,-2.38112,4.25963,-5,NA,NA,NA,-50.483,NA,NA
32948,-1.61257,3.8392,-4.8525,NA,NA,NA,NA,-5.15,NA
33127,-1.70833,4.20461,-5,NA,NA,NA,NA,-38.412,NA
33361,-1.9829,3.48635,-5,NA,NA,NA,-60.263,NA,NA
33436,-1.71787,3.37864,-5,NA,NA,NA,-35.495,NA,NA
33721,-1.109,3.66647,-5,NA,NA,NA,-57.963,NA,NA
33853,-2.31685,4.74356,-4.83193,NA,NA,NA,NA,-50.023,NA
34174,-1.85062,3.89096,-5,NA,-21.281,NA,NA,NA,NA
34386,-1.85409,3.8777,-5,NA,-25.133,NA,NA,NA,NA
34501,-1.1315,4.69564,-4.17239,NA,NA,NA,-79.673,NA,NA
