id,x0,x1,x2,fitness5,fitness4,fitness4.5,fitness3.5
20822,5,5,-0.639081,12335.553,NA,NA,NA
21088,5,4.7132,-0.799341,13262.29,NA,NA,NA
21350,4.88244,5,-1.74586,NA,808.894,NA,NA
21559,5,5,-2.13884,3994.027,NA,NA,NA
21756,5,5,-1.89152,4144.996,NA,NA,NA
21997,5,5,-0.729756,12305.26,NA,NA,NA
22176,5,5,-0.641751,9481.382,NA,NA,NA
22257,5,4.23975,0.0250185,2001.164,NA,NA,NA
22433,5,4.82245,-0.66359,13580.334,NA,NA,NA
22615,5,5,-0.712007,11889.85,NA,NA,NA
22903,5,5,-0.850726,NA,NA,12080.311,NA
23026,4.98603,4.86846,-0.773562,18288.049,NA,NA,NA
23377,5,5,-0.569645,6057.009,NA,NA,NA
23589,5,4.68713,-0.659381,9205.116,NA,NA,NA
23625,5,5,-0.581506,6665.831,NA,NA,NA
23976,5,5,-0.780856,12999.673,NA,NA,NA
24170,5,4.61545,-1.89869,2356.262,NA,NA,NA
24320,5,4.84189,-1.43385,NA,NA,6819.263,NA
24583,5,5,-0.906721,NA,NA,8496.029,NA
24739,4.59796,5,-0.717729,5451.389,NA,NA,NA
24875,5,5,-0.730558,12321.991,NA,NA,NA
25176,5,5,-1.93847,5057.564,NA,NA,NA
25275,5,5,-0.813202,13032.331,NA,NA,NA
25450,5,5,-0.870185,12304.953,NA,NA,NA
25792,5,5,-2.09241,4862.237,NA,NA,NA
25908,5,5,-2.1142,4490.301,NA,NA,NA
26080,4.68867,4.74885,-0.810907,13640.297,NA,NA,NA
26265,5,5,-0.589373,7061.719,NA,NA,NA
26568,4.19471,5,-1.24447,4754.643,NA,NA,NA
26646,5,5,-1.0189,6263.716,NA,NA,NA
26924,5,5,-0.734294,12397.56,NA,NA,NA
27061,5,5,-2.86581,2151.474,NA,NA,NA
27387,5,5,-2.95848,3131.419,NA,NA,NA
27595,4.92884,5,-3.05007,3898.472,NA,NA,NA
27624,4.90017,5,-0.871087,20505.439,NA,NA,NA
27815,5,5,-0.588949,7040.558,NA,NA,NA
28191,5,4.92109,0.339961,4381.735,NA,NA,NA
28261,4.9508,5,0.898191,NA,2157.868,NA,NA
28523,5,5,-0.543736,6249.331,NA,NA,NA
28790,5,5,-1.07473,3477.333,NA,NA,NA
28880,4.99545,5,-0.763854,13117.292,NA,NA,NA
29195,5,5,-0.708318,11792.902,NA,NA,NA
29383,5,4.85698,-2.0075,7402.629,NA,NA,NA
29519,5,5,-2.0196,5537.594,NA,NA,NA
29767,4.27419,5,-1.47206,7202.751,NA,NA,NA
29816,5,5,-1.05356,4247.93,NA,NA,NA
30154,5,4.78296,-0.815753,16179.992,NA,NA,NA
30236,5,5,-1.49284,NA,NA,5569.183,NA
30463,4.78968,5,-1.04006,6350.914,NA,NA,NA
30718,5,5,-0.693147,11357.333,NA,NA,NA
30997,5,4.925,0.139511,583.215,NA,NA,NA
31163,4.83013,4.95963,-0.887305,18224.496,NA,NA,NA
31215,5,4.8502,-1.32146,NA,NA,3774.577,NA
31482,5,4.62048,-0.88766,6808.155,NA,NA,NA
31683,4.76552,5,-2.07694,6086.252,NA,NA,NA
31927,5,4.68344,-1.9418,5938.374,NA,NA,NA
32073,5,5,-0.810401,13042.288,NA,NA,NA
32345,5,5,-1.34256,NA,3957.41,NA,NA
32474,5,4.87577,-0.90143,15261.64,NA,NA,NA
32685,5,4.66059,-0.892648,9139.505,NA,NA,NA
32802,5,5,-0.610815,8102.298,NA,NA,NA
33127,4.90423,5,-0.992473,9974.37,NA,NA,NA
33393,5,5,-0.56985,6067.642,NA,NA,NA
33578,5,5,-0.874064,12219.656,NA,NA,NA
33620,5,5,-0.567014,5920.227,NA,NA,NA
33826,5,5,-0.625723,10433.084,NA,NA,NA
34012,5,5,-0.84231,12785.06,NA,NA,NA
34248,5,4.83846,-0.876139,16149.118,NA,NA,NA
34533,5,5,-0.830214,12919.622,NA,NA,NA
34740,3.85192,5,-1.00809,2371.458,NA,NA,NA
34821,4.83874,4.91256,-1.87107,6143.531,NA,NA,NA
35089,5,5,-2.09012,6108.389,NA,NA,NA
35374,4.85922,5,-0.901915,19915.478,NA,NA,NA
35516,5,5,-0.687306,11174.293,NA,NA,NA
35730,5,5,-0.844351,12757.918,NA,NA,NA
35908,5,5,-1.36861,NA,6986.758,NA,NA
36061,5,5,-0.631038,9022.231,NA,NA,NA
36305,5,5,-0.620084,9909.853,NA,NA,NA
36461,5,5,-1.32793,NA,NA,5705.247,NA
36734,5,4.80179,-1.02347,9732.574,NA,NA,NA
36846,5,4.98498,-0.93535,10980.985,NA,NA,NA
37197,4.88653,4.75596,-0.695526,17631.801,NA,NA,NA
37209,5,5,-0.890584,15589.298,NA,NA,NA
37523,4.57332,5,-0.818687,4173.992,NA,NA,NA
37651,5,5,-0.811414,13038.968,NA,NA,NA
37836,5,5,-1.91717,4700.311,NA,NA,NA
38153,5,5,-0.913356,14757.873,NA,NA,NA
38359,5,5,-0.965592,9008.814,NA,NA,NA
38482,4.73257,5,-0.535356,4620.595,NA,NA,NA
38627,4.93934,5,-0.874649,14918.804,NA,NA,NA
38846,5,5,-1.0182,6302.866,NA,NA,NA
39057,5,5,-0.650333,9833.684,NA,NA,NA
39314,5,5,-0.915471,11039.699,NA,NA,NA
39474,5,5,-0.132083,NA,NA,1584.72,NA
39632,5,5,-0.58448,6816.287,NA,NA,NA
39968,4.95475,4.7322,-0.560621,7156.402,NA,NA,NA
40058,4.17706,5,-0.0492926,3385.166,NA,NA,NA
40312,5,4.98268,-1.48361,NA,4469.377,NA,NA
40444,4.39727,4.4071,-0.810001,2592.823,NA,NA,NA
40791,4.3725,5,-0.16527,5030.529,NA,NA,NA
40919,5,5,1.2367,2599.738,NA,NA,NA
41150,4.45185,4.90237,-0.0940577,NA,NA,1566.541,NA
41353,5,4.72627,-1.01168,7110.224,NA,NA,NA
41443,5,5,-1.09327,1809.888,NA,NA,NA
41776,5,5,-0.872238,NA,NA,14024.057,NA
41888,5,5,-0.724501,12191.218,NA,NA,NA
42099,4.84924,5,-1.06586,NA,NA,4823.218,NA
42210,4.72959,5,-0.853586,NA,NA,9335.407,NA
42546,5,5,-2.0865,NA,NA,4932.766,NA
42696,5,4.77263,-0.635999,11240.391,NA,NA,NA
42918,5,5,-0.635918,9233.963,NA,NA,NA
43026,5,5,-0.925519,10682.4,NA,NA,NA
43262,5,5,-1.28032,NA,NA,5437.451,NA
43572,5,4.76791,-0.871025,14794.322,NA,NA,NA
43626,5,5,-0.753648,12725.355,NA,NA,NA
43836,5,5,-0.738358,12475.298,NA,NA,NA
44199,5,5,-0.676276,NA,3533.417,NA,NA
44317,5,5,-0.723832,12176.153,NA,NA,NA
44462,4.21501,5,-0.147089,4420.469,NA,NA,NA
44684,5,4.81898,0.258508,3906.368,NA,NA,NA
44936,5,4.73053,-0.608535,8657.168,NA,NA,NA
45165,5,5,-0.751169,12689.419,NA,NA,NA
45393,5,4.96606,-1.824,2371.526,NA,NA,NA
45496,5,5,-0.78114,13001.359,NA,NA,NA
45766,5,4.71594,-0.83795,13181.599,NA,NA,NA
45921,4.76281,4.74787,-0.982833,11124.356,NA,NA,NA
46177,4.70591,4.82273,-1.61682,NA,NA,3751.554,NA
46208,5,5,-0.717407,12025.263,NA,NA,NA
46439,4.9,4.25397,-0.518608,NA,1579.99,NA,NA
46767,5,4.37104,-0.308712,NA,NA,1850.721,NA
46961,4.69087,5,-0.835867,12598.669,NA,NA,NA
47092,3.8307,5,-0.819293,NA,NA,3569.933,NA
47344,3.75472,3.33672,-1.36315,1431.332,NA,NA,NA
