id,x0,x1,x2,fitness8.5,fitness9,fitness7.5,fitness8,fitness7,fitness6.5,fitness9.5,fitness6,fitness10,fitness5,fitness5.5,fitness4,fitness3.5,fitness4.5
10303,8.03219,7.66581,7.26097,NA,NA,NA,NA,NA,NA,0.591,NA,NA,NA,NA,NA,NA,NA
10591,7.91761,7.45713,8.10669,NA,0.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10616,8.39009,8.91335,7.75341,NA,NA,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10954,7.93732,6.68676,6.97036,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11002,7.53601,6.55271,7.45086,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11329,6.99046,7.73217,7.54313,NA,0.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11472,6.76049,7.62747,6.87155,NA,NA,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11685,6.58053,7.40174,7.45697,NA,NA,NA,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11828,7.40995,8.03527,6.69627,NA,NA,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12055,7.5032,8.19332,7.66293,NA,NA,NA,NA,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA
12358,7.78827,8.13393,7.68807,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
12519,7.52066,7.9675,9.10693,NA,0.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12690,7.77708,8.2588,7.54605,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12896,8.54711,7.47843,7.55899,NA,NA,NA,NA,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA
13169,7.40498,7.78104,8.15571,NA,NA,NA,NA,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA
13373,6.99922,7.29417,9.19515,NA,NA,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13453,7.67026,7.30693,7.15893,NA,NA,NA,0.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13779,7.10079,7.3497,7.36556,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13812,7.8182,8.0328,8.72468,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14018,7.6488,7.69848,7.56397,NA,NA,NA,0.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14374,7.64201,8.58305,6.56043,NA,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14491,7.76287,8.08385,7.44946,NA,NA,NA,NA,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA
14754,7.50499,8.12099,6.67349,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14934,8.55963,7.47013,6.19088,NA,NA,0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15011,8.18285,8.64196,6.71184,NA,NA,0.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15315,7.59688,7.8853,6.92465,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15491,8.431,8.55638,7.64527,NA,NA,NA,NA,0.608,NA,NA,NA,NA,NA,NA,NA,NA,NA
15684,7.89712,8.42468,8.44721,NA,NA,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15849,8.0259,7.27342,7.88003,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,7.71168,7.96458,8.64431,NA,NA,NA,NA,NA,0.509,NA,NA,NA,NA,NA,NA,NA,NA
16309,8.21857,6.9722,8.16229,NA,NA,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16567,6.4927,7.78136,8.15442,NA,NA,NA,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16645,7.15114,7.70973,8.56615,NA,NA,NA,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16992,8.8295,7.84421,7.30718,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17075,8.47388,7.61004,6.65843,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17319,8.02908,8.29977,7.41574,NA,NA,0.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17526,8.26675,8.70043,8.17565,NA,NA,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17777,8.42669,9.00694,8.21879,NA,NA,NA,NA,0.521,NA,NA,NA,NA,NA,NA,NA,NA,NA
17982,7.85362,7.56004,8.03755,NA,NA,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18052,8.54524,5.82154,7.33805,NA,NA,NA,0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18361,8.06519,5.94673,8.43952,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18578,7.55405,7.47412,8.72398,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18771,6.3678,6.74614,7.88342,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18869,7.0702,7.62283,7.91217,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19028,8.23446,8.77217,7.74704,NA,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19302,7.02518,7.61564,7.49905,NA,NA,NA,NA,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA
19570,6.12636,8.37442,6.34002,NA,NA,NA,NA,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA
19605,8.31981,8.44631,6.7441,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20000,8.21578,8.15621,7.42949,NA,NA,NA,0.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20133,7.67558,7.72464,8.32333,NA,NA,NA,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20246,7.0476,7.06343,7.77315,NA,NA,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA
20488,8.03688,7.01798,6.85266,NA,NA,NA,NA,0.562,NA,NA,NA,NA,NA,NA,NA,NA,NA
20750,7.99238,7.54359,7.09534,NA,NA,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20926,7.96926,7.26746,6.51336,NA,NA,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21192,8.30009,7.15628,6.55661,NA,NA,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21330,7.32276,6.64692,7.02341,NA,NA,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21432,7.18344,6.81249,7.77079,NA,NA,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21759,8.41727,7.52058,8.58817,NA,NA,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21940,9.47328,6.88894,9.22694,NA,NA,NA,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22014,8.43716,7.33213,8.35385,0.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22206,8.45996,8.61693,8.36826,NA,NA,NA,0.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22518,8.66381,8.09664,7.86567,NA,NA,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22774,8.84917,7.6113,6.25159,NA,NA,NA,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22890,6.81701,7.74237,7.66576,0.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23192,5.03381,8.69148,7.98114,NA,NA,0.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23250,7.05239,8.53434,6.82947,NA,NA,NA,NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA
