id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness8.5,fitness9.5,fitness9,fitness6.5
15720,7.45822,7.09834,7.85733,0.851,NA,NA,NA,NA,NA,NA
15821,7.70425,8.35029,7.21667,NA,0.872,NA,NA,NA,NA,NA
16199,7.59677,8.31627,8.56492,NA,NA,0.746,NA,NA,NA,NA
16244,7.96657,7.75179,8.71339,NA,0.8,NA,NA,NA,NA,NA
16575,8.61181,7.62253,8.52255,NA,0.739,NA,NA,NA,NA,NA
16773,8.29049,8.4023,7.12805,NA,NA,0.773,NA,NA,NA,NA
16862,8.03009,8.24605,7.52719,NA,NA,0.908,NA,NA,NA,NA
17168,8.31955,7.05316,7.63619,0.776,NA,NA,NA,NA,NA,NA
17370,8.05782,7.53948,7.84152,NA,NA,NA,0.899,NA,NA,NA
17597,8.22043,7.87007,7.50639,0.869,NA,NA,NA,NA,NA,NA
17602,8.14229,7.24654,7.90908,NA,0.907,NA,NA,NA,NA,NA
17829,8.10756,8.03766,8.37467,NA,0.865,NA,NA,NA,NA,NA
18145,7.55698,8.68175,7.62499,NA,NA,0.819,NA,NA,NA,NA
18222,7.5583,9.15033,7.50521,0.654,NA,NA,NA,NA,NA,NA
18550,7.39229,7.39926,7.7158,0.898,NA,NA,NA,NA,NA,NA
18785,7.58782,7.46049,8.42856,NA,0.877,NA,NA,NA,NA,NA
18999,7.97552,7.96888,7.86453,NA,NA,0.937,NA,NA,NA,NA
19155,7.36604,7.8101,8.14395,NA,0.921,NA,NA,NA,NA,NA
19353,6.71354,7.58464,8.01371,NA,NA,0.773,NA,NA,NA,NA
19471,7.75132,7.53016,7.0009,NA,0.851,NA,NA,NA,NA,NA
19780,7.68908,7.4769,7.27192,NA,NA,0.94,NA,NA,NA,NA
19855,7.32158,7.2981,7.39613,NA,NA,0.905,NA,NA,NA,NA
20115,8.43537,7.84232,7.95944,NA,0.867,NA,NA,NA,NA,NA
20210,7.59792,8.73723,8.23313,NA,NA,0.767,NA,NA,NA,NA
20587,7.15032,8.86324,8.07599,NA,NA,0.686,NA,NA,NA,NA
20633,7.83913,8.64323,7.79291,NA,0.838,NA,NA,NA,NA,NA
20821,8.56404,7.81549,7.67853,NA,NA,NA,0.699,NA,NA,NA
21093,7.17796,8.26786,8.56277,NA,NA,0.702,NA,NA,NA,NA
21366,8.03676,7.93408,8.25198,NA,NA,0.911,NA,NA,NA,NA
21509,7.4615,7.97118,8.355,NA,0.873,NA,NA,NA,NA,NA
21735,7.09994,7.37336,7.59418,NA,0.888,NA,NA,NA,NA,NA
21925,8.0159,8.11065,7.20896,0.798,NA,NA,NA,NA,NA,NA
22171,6.90226,7.69632,7.83492,0.813,NA,NA,NA,NA,NA,NA
22232,7.42978,7.38761,7.36535,NA,NA,0.932,NA,NA,NA,NA
22448,7.65351,7.71357,7.47985,0.836,NA,NA,NA,NA,NA,NA
22654,8.31128,7.76079,7.38886,NA,0.898,NA,NA,NA,NA,NA
22804,7.89094,8.36986,7.40009,NA,NA,0.882,NA,NA,NA,NA
23100,8.29142,7.88183,8.10048,NA,NA,0.898,NA,NA,NA,NA
23376,8.22931,8.21982,7.65329,0.793,NA,NA,NA,NA,NA,NA
23589,7.69212,6.80394,8.16,NA,NA,0.769,NA,NA,NA,NA
23780,7.34999,7.23945,7.91088,NA,NA,0.907,NA,NA,NA,NA
23998,8.00727,8.51505,7.70029,NA,0.864,NA,NA,NA,NA,NA
24123,8.57297,7.0298,8.54109,NA,0.651,NA,NA,NA,NA,NA
24288,7.99871,8.06817,7.65353,NA,NA,NA,0.788,NA,NA,NA
24497,8.21498,7.95825,7.17427,0.813,NA,NA,NA,NA,NA,NA
24726,7.61602,7.28605,8.07356,0.876,NA,NA,NA,NA,NA,NA
24925,8.24949,7.89624,8.85667,NA,NA,NA,NA,NA,NA,0.508
25135,8.50414,8.16904,7.67972,NA,NA,0.843,NA,NA,NA,NA
25391,8.03236,8.24818,8.31857,NA,NA,0.814,NA,NA,NA,NA
25424,7.22409,7.41899,7.42655,0.822,NA,NA,NA,NA,NA,NA
25766,7.94941,7.558,7.53988,NA,0.95,NA,NA,NA,NA,NA
25996,7.66215,7.90039,8.18069,0.866,NA,NA,NA,NA,NA,NA
26182,7.79342,7.86128,8.27805,NA,NA,0.887,NA,NA,NA,NA
26372,8.10209,7.26602,7.4388,NA,NA,NA,0.842,NA,NA,NA
26488,7.37328,7.79594,8.08448,NA,NA,0.932,NA,NA,NA,NA
26704,8.01067,7.20278,8.12671,0.838,NA,NA,NA,NA,NA,NA
26929,7.08453,8.0738,7.98591,0.708,NA,NA,NA,NA,NA,NA
27112,7.61313,8.43701,8.1327,0.815,NA,NA,NA,NA,NA,NA
27256,7.68017,7.53293,7.95802,NA,0.958,NA,NA,NA,NA,NA
27562,7.96671,7.66806,7.89764,NA,NA,0.968,NA,NA,NA,NA
27672,8.56956,7.16756,7.65281,NA,0.791,NA,NA,NA,NA,NA
27861,8.28363,7.29923,7.41843,NA,0.866,NA,NA,NA,NA,NA
28107,7.2304,7.31447,7.48925,NA,0.882,NA,NA,NA,NA,NA
28230,7.26563,7.909,7.32474,NA,NA,NA,0.834,NA,NA,NA
28459,7.23153,7.52589,8.18505,NA,NA,0.898,NA,NA,NA,NA
28666,7.11131,7.66612,8.15393,NA,0.867,NA,NA,NA,NA,NA
28889,8.13106,7.48844,8.00219,0.789,NA,NA,NA,NA,NA,NA
29139,7.95344,7.87205,8.31892,0.747,NA,NA,NA,NA,NA,NA
29261,7.41477,7.01727,7.35621,NA,NA,0.84,NA,NA,NA,NA
29425,7.91138,6.77747,8.0357,NA,0.747,NA,NA,NA,NA,NA
