id,x0,x1,x2,fitness5,fitness4,fitness3.5,fitness4.5,fitness6,fitness7,fitness7.5,fitness10,fitness9,fitness10.5,fitness8.5,fitness8,fitness6.5,fitness9.5,fitness3,fitness2.5,fitness5.5,fitness2
8551,8.72278,4.33724,7.06175,NA,NA,NA,NA,NA,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8646,8.31018,1.78859,8.03753,NA,NA,NA,NA,NA,NA,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8904,6.25255,3.07725,8.27311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA
9097,6.59693,4.01671,8.16265,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9259,7.2825,3.62474,9.47693,NA,NA,NA,NA,NA,NA,0.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9598,7.11589,1.8155,8.89662,NA,NA,NA,NA,-0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9735,7.19438,2.47663,7.18613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387,NA,NA,NA,NA,NA
9954,7.02352,2.91927,7.34651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA,NA
10007,7.16554,1.86673,8.71802,NA,NA,NA,NA,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10271,8.29501,3.40522,8.00286,NA,0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10479,7.82409,2.21093,6.89204,NA,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10601,8.39157,3.379,7.06668,NA,0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10817,6.84109,3.73009,6.62264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
11065,8.32528,4.43668,6.81097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326,NA,NA
11308,8.43739,3.78952,7.83991,NA,NA,0.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
