id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness8.5,fitness9,fitness6.5,fitness9.5,fitness6
14752,7.31543,7.33879,7.75821,NA,NA,NA,NA,0.733,NA,NA,NA
14886,7.07845,7.80962,7.22207,NA,NA,0.836,NA,NA,NA,NA,NA
15130,8.41049,7.95074,7.38727,NA,NA,0.848,NA,NA,NA,NA,NA
15255,8.29265,7.41263,7.65006,NA,NA,0.885,NA,NA,NA,NA,NA
15595,7.45166,8.12565,6.91326,NA,NA,NA,0.706,NA,NA,NA,NA
15765,6.96914,8.66401,6.72011,NA,NA,0.506,NA,NA,NA,NA,NA
15902,7.14058,7.12313,7.33927,NA,NA,0.803,NA,NA,NA,NA,NA
16095,6.29397,7.51573,8.06838,NA,0.603,NA,NA,NA,NA,NA,NA
16394,6.90386,8.35906,7.43382,NA,NA,0.758,NA,NA,NA,NA,NA
16445,7.15789,7.63084,7.11279,0.73,NA,NA,NA,NA,NA,NA,NA
16674,8.48841,7.51922,6.94504,NA,NA,0.76,NA,NA,NA,NA,NA
16971,8.52021,7.17987,8.42881,NA,NA,0.684,NA,NA,NA,NA,NA
17089,8.16763,8.16229,7.0263,NA,NA,NA,0.761,NA,NA,NA,NA
17221,7.86051,7.46169,8.55155,0.807,NA,NA,NA,NA,NA,NA,NA
17423,7.94588,6.31468,8.37375,0.463,NA,NA,NA,NA,NA,NA,NA
17756,7.81851,6.84893,7.93764,NA,0.809,NA,NA,NA,NA,NA,NA
17972,8.09631,6.9144,8.11185,NA,NA,0.761,NA,NA,NA,NA,NA
18157,7.57031,7.14355,7.2228,NA,NA,NA,0.796,NA,NA,NA,NA
18391,7.70699,7.67243,7.42668,NA,NA,NA,NA,0.76,NA,NA,NA
18442,8.65789,8.21007,7.32487,NA,NA,NA,0.671,NA,NA,NA,NA
18617,7.58493,7.37585,7.79419,NA,0.964,NA,NA,NA,NA,NA,NA
18801,7.65778,8.16048,7.45086,NA,NA,NA,0.873,NA,NA,NA,NA
19200,7.77275,7.93549,7.32541,NA,0.937,NA,NA,NA,NA,NA,NA
19352,7.22781,7.53655,7.5541,NA,NA,0.92,NA,NA,NA,NA,NA
19406,7.47689,7.46542,7.83802,NA,NA,NA,0.905,NA,NA,NA,NA
19681,7.66117,7.53674,7.46078,NA,NA,NA,0.881,NA,NA,NA,NA
19826,8.3975,7.64728,7.62122,NA,NA,0.897,NA,NA,NA,NA,NA
20192,9.25451,7.88155,7.72146,NA,0.678,NA,NA,NA,NA,NA,NA
20277,8.3985,7.88575,8.20139,NA,NA,0.841,NA,NA,NA,NA,NA
20489,9.61043,7.30859,7.94648,NA,NA,0.553,NA,NA,NA,NA,NA
20761,8.56237,7.49361,7.2589,NA,0.798,NA,NA,NA,NA,NA,NA
20903,8.12652,7.00967,7.57802,0.691,NA,NA,NA,NA,NA,NA,NA
21147,7.56879,8.06133,7.16871,NA,NA,0.884,NA,NA,NA,NA,NA
21247,7.34235,8.46046,7.51842,NA,0.847,NA,NA,NA,NA,NA,NA
21437,7.95099,7.83879,7.13576,NA,0.914,NA,NA,NA,NA,NA,NA
21680,7.45168,7.20949,7.20446,NA,0.878,NA,NA,NA,NA,NA,NA
21883,8.33746,8.00308,8.44365,NA,0.81,NA,NA,NA,NA,NA,NA
22030,8.46559,7.85901,8.20782,0.673,NA,NA,NA,NA,NA,NA,NA
22258,8.04594,6.78342,7.2867,0.696,NA,NA,NA,NA,NA,NA,NA
22577,7.32602,7.64601,8.00466,0.868,NA,NA,NA,NA,NA,NA,NA
22642,7.41159,7.82358,8.54067,NA,0.846,NA,NA,NA,NA,NA,NA
22916,8.34064,7.21142,7.77989,NA,0.852,NA,NA,NA,NA,NA,NA
23060,7.5568,7.81969,7.89886,NA,NA,NA,NA,0.784,NA,NA,NA
23246,7.8103,7.1715,7.08647,NA,NA,0.827,NA,NA,NA,NA,NA
23589,7.26233,8.12827,7.34791,NA,NA,NA,0.732,NA,NA,NA,NA
23769,7.46942,7.68217,8.79441,NA,0.8,NA,NA,NA,NA,NA,NA
23896,7.23543,7.67142,8.09128,0.874,NA,NA,NA,NA,NA,NA,NA
24135,6.94183,7.90096,8.43947,0.675,NA,NA,NA,NA,NA,NA,NA
24273,7.59874,8.66989,8.75111,0.513,NA,NA,NA,NA,NA,NA,NA
24431,7.12419,8.4787,7.54634,NA,0.81,NA,NA,NA,NA,NA,NA
24615,7.67798,9.20396,7.68236,NA,NA,0.693,NA,NA,NA,NA,NA
24891,7.34327,9.09417,7.74222,NA,0.694,NA,NA,NA,NA,NA,NA
25188,8.13389,8.19891,7.63495,NA,0.916,NA,NA,NA,NA,NA,NA
25205,7.53273,7.86342,8.40112,NA,NA,0.879,NA,NA,NA,NA,NA
25478,8.3143,8.05526,7.47,NA,NA,0.89,NA,NA,NA,NA,NA
25725,8.56003,7.76504,7.18142,NA,0.793,NA,NA,NA,NA,NA,NA
25926,8.4103,7.2875,8.18369,NA,NA,NA,0.749,NA,NA,NA,NA
26068,7.53031,8.03177,8.20297,NA,0.921,NA,NA,NA,NA,NA,NA
26273,6.75663,7.49702,7.68712,NA,NA,0.795,NA,NA,NA,NA,NA
26481,7.5695,7.32049,7.20541,NA,0.906,NA,NA,NA,NA,NA,NA
26654,7.04536,7.24079,7.16556,NA,NA,0.789,NA,NA,NA,NA,NA
26833,6.93334,7.87851,7.18684,NA,NA,0.795,NA,NA,NA,NA,NA
27031,7.39562,6.86136,7.71001,0.781,NA,NA,NA,NA,NA,NA,NA
27296,7.21194,7.04176,7.40944,NA,0.818,NA,NA,NA,NA,NA,NA
27446,7.38816,7.62924,7.4253,NA,0.937,NA,NA,NA,NA,NA,NA
27795,8.92698,7.3695,8.27634,0.544,NA,NA,NA,NA,NA,NA,NA
28000,8.33423,7.40731,8.171,0.761,NA,NA,NA,NA,NA,NA,NA
28103,8.49217,8.48995,7.72628,0.682,NA,NA,NA,NA,NA,NA,NA
28383,8.06202,8.25809,7.56127,NA,0.905,NA,NA,NA,NA,NA,NA
28437,7.72059,7.67457,6.79551,NA,0.827,NA,NA,NA,NA,NA,NA
28721,6.95528,7.88198,6.43212,0.506,NA,NA,NA,NA,NA,NA,NA
28996,7.65437,7.45629,7.67725,NA,NA,NA,0.872,NA,NA,NA,NA
29030,7.25362,8.03443,7.55006,NA,0.929,NA,NA,NA,NA,NA,NA
29278,7.31728,7.00513,8.69593,NA,NA,0.696,NA,NA,NA,NA,NA
29530,7.35827,7.53339,7.24489,0.787,NA,NA,NA,NA,NA,NA,NA
29726,7.81967,7.73669,7.56297,NA,NA,NA,NA,NA,0.759,NA,NA
29917,7.11429,8.72589,7.98263,NA,0.738,NA,NA,NA,NA,NA,NA
30165,8.01368,8.00494,7.4906,NA,NA,NA,NA,0.724,NA,NA,NA
30220,8.22658,7.96835,7.12884,NA,NA,NA,NA,0.664,NA,NA,NA
30425,6.98571,7.65814,7.48961,NA,NA,NA,0.804,NA,NA,NA,NA
30639,7.01936,7.9387,7.35424,NA,NA,NA,0.761,NA,NA,NA,NA
30989,8.48111,7.15851,8.05459,NA,NA,NA,0.71,NA,NA,NA,NA
31174,8.56554,7.05985,7.36207,NA,NA,0.754,NA,NA,NA,NA,NA
31237,8.03776,7.16341,7.92373,NA,NA,NA,0.844,NA,NA,NA,NA
31455,8.52929,7.29221,7.29305,NA,NA,0.763,NA,NA,NA,NA,NA
31607,8.89283,7.26763,7.48316,0.658,NA,NA,NA,NA,NA,NA,NA
31831,8.01978,7.84034,7.65615,NA,NA,0.935,NA,NA,NA,NA,NA
32103,8.27355,8.28329,7.47001,0.818,NA,NA,NA,NA,NA,NA,NA
32319,8.68766,7.81249,7.68673,NA,NA,NA,NA,0.654,NA,NA,NA
32494,8.22286,7.60928,8.50201,NA,0.834,NA,NA,NA,NA,NA,NA
32652,7.0431,7.24242,8.64612,NA,0.677,NA,NA,NA,NA,NA,NA
32919,7.3008,6.35419,7.9995,NA,0.577,NA,NA,NA,NA,NA,NA
33109,7.2475,6.80035,7.97385,NA,0.76,NA,NA,NA,NA,NA,NA
33235,8.42832,6.73688,6.89417,NA,0.566,NA,NA,NA,NA,NA,NA
33574,7.803,7.64934,8.11704,NA,NA,NA,NA,0.688,NA,NA,NA
33782,8.30213,7.17711,7.63303,NA,NA,NA,0.801,NA,NA,NA,NA
33919,7.2374,7.61511,8.4075,NA,NA,0.809,NA,NA,NA,NA,NA
34015,7.99569,7.51181,7.50272,NA,NA,NA,0.885,NA,NA,NA,NA
34363,9.34882,8.50251,7.13898,NA,NA,0.464,NA,NA,NA,NA,NA
34491,7.82059,7.60143,6.11633,NA,0.576,NA,NA,NA,NA,NA,NA
34743,7.36485,7.74091,6.78087,0.731,NA,NA,NA,NA,NA,NA,NA
34974,7.73169,7.61697,8.34632,NA,NA,NA,0.829,NA,NA,NA,NA
35176,8.19723,8.40257,7.83669,NA,0.862,NA,NA,NA,NA,NA,NA
35232,7.44458,8.53738,7.39361,0.788,NA,NA,NA,NA,NA,NA,NA
35527,8.2598,8.22159,7.67212,NA,NA,NA,0.783,NA,NA,NA,NA
35716,8.55666,7.00242,8.0537,NA,0.735,NA,NA,NA,NA,NA,NA
35969,8.30266,7.90886,7.60754,0.813,NA,NA,NA,NA,NA,NA,NA
36114,8.07136,8.19918,7.38517,NA,NA,0.898,NA,NA,NA,NA,NA
36289,7.28314,8.23626,7.381,NA,0.861,NA,NA,NA,NA,NA,NA
36592,7.12773,7.79145,8.0899,NA,NA,0.891,NA,NA,NA,NA,NA
36696,7.7316,7.97002,9.55449,0.44,NA,NA,NA,NA,NA,NA,NA
36896,7.02591,7.7305,8.66074,NA,0.704,NA,NA,NA,NA,NA,NA
37024,7.65128,8.20689,8.16369,0.765,NA,NA,NA,NA,NA,NA,NA
37343,7.78868,8.76421,7.75175,0.755,NA,NA,NA,NA,NA,NA,NA
37469,6.93159,8.05759,7.16451,NA,0.784,NA,NA,NA,NA,NA,NA
37723,7.68658,8.72459,7.77537,NA,0.827,NA,NA,NA,NA,NA,NA
37961,7.71784,8.11579,7.24246,NA,NA,0.888,NA,NA,NA,NA,NA
