id,x0,x1,x2,fitness5.5,fitness7,fitness8.5,fitness8,fitness9.5,fitness10,fitness7.5,fitness6.5,fitness9,fitness6,fitness4.5,fitness4,fitness5,fitness3.5,fitness10.5
9711,7.63437,8.40662,7.21646,NA,NA,NA,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9992,8.43139,7.94105,7.05744,NA,NA,NA,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10128,8.27899,7.93793,7.38357,NA,NA,NA,NA,NA,NA,0.898,NA,NA,NA,NA,NA,NA,NA,NA
10390,8.14523,7.15972,7.16109,NA,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10415,7.95156,7.26802,7.2309,NA,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10703,8.35783,6.25709,6.75855,NA,0.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10964,7.54172,7.09227,7.06215,NA,NA,NA,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11199,6.1225,6.4408,6.87676,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA
11327,6.49609,5.76783,7.7082,NA,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11465,7.56927,7.03978,6.69754,NA,NA,NA,NA,NA,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA
11759,8.56357,7.94843,8.99388,NA,0.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11957,7.90098,6.85865,8.0841,NA,NA,NA,NA,NA,NA,0.795,NA,NA,NA,NA,NA,NA,NA,NA
12015,6.51691,7.50498,8.26879,NA,0.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12338,8.09829,7.73791,8.9344,NA,NA,NA,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12428,8.73422,7.73574,10.5,NA,NA,NA,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12611,8.06663,8.50313,8.77016,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12861,7.72252,8.84059,7.79041,NA,NA,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13077,8.31718,7.82449,7.40653,NA,NA,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13216,8.99161,7.28153,8.27432,NA,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13500,10.5,8.00168,7.78604,NA,0.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13659,8.80521,7.71179,7.06766,NA,NA,NA,NA,NA,NA,0.708,NA,NA,NA,NA,NA,NA,NA,NA
13814,8.60662,8.36591,8.29871,NA,NA,NA,NA,NA,NA,0.717,NA,NA,NA,NA,NA,NA,NA,NA
14013,10.3037,7.94598,8.48974,NA,NA,NA,NA,NA,NA,0.354,NA,NA,NA,NA,NA,NA,NA,NA
14365,8.58732,8.11885,9.47176,NA,NA,NA,0.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14562,6.92967,8.25565,7.98579,NA,0.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14682,5.62135,7.649,7.78014,NA,0.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14851,6.04617,7.79673,7.2165,NA,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15036,6.22973,7.91209,7.95639,NA,0.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15213,7.26649,6.9908,8.14809,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334,NA,NA,NA,NA,NA
15454,8.66691,6.41623,7.10021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238,NA,NA,NA,NA
15630,9.56048,7.47983,6.93558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463,NA,NA,NA
15819,7.51667,9.05109,8.1349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.672,NA,NA,NA,NA
16083,6.65641,8.52623,7.9675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419,NA,NA
16338,8.51959,8.44272,7.77952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543,NA
16459,8.25166,7.03132,7.2789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.745,NA,NA,NA
16679,8.01629,7.02566,6.96758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748,NA,NA,NA,NA
16928,7.54813,7.25279,7.38344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.672,NA,NA
17163,7.91108,6.25257,7.26689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341,NA,NA
17273,8.06121,6.32439,7.42961,NA,NA,NA,NA,NA,NA,0.589,NA,NA,NA,NA,NA,NA,NA,NA
17499,7.29558,8.39355,7.45128,NA,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17800,7.88704,8.21116,8.14659,NA,NA,NA,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA,NA,NA
17807,7.61889,7.86221,7.55676,NA,NA,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18066,6.88052,7.92185,7.29717,NA,NA,NA,NA,0.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18241,5.27076,7.81281,7.19684,NA,NA,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18494,4.86822,7.76899,8.80145,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18615,3.8344,8.07855,8.06507,NA,NA,NA,NA,NA,NA,0.889,NA,NA,NA,NA,NA,NA,NA,NA
18940,3.58227,7.90836,7.54559,NA,NA,NA,0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19032,4.41997,7.62489,8.32239,NA,NA,0.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19370,5.97538,7.9632,7.60035,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19515,7.56486,7.96221,8.75789,NA,NA,NA,NA,NA,NA,0.804,NA,NA,NA,NA,NA,NA,NA,NA
19764,8.37761,7.91743,7.61551,NA,NA,NA,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19959,7.28622,8.94325,8.0942,NA,NA,NA,NA,NA,NA,0.702,NA,NA,NA,NA,NA,NA,NA,NA
20070,8.42309,9.1658,7.9271,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA
20355,7.85354,7.85523,7.13124,NA,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
