id,x0,x1,x2,fitness-2.5,fitness-3,fitness-2,fitness-3.5,fitness-1.5,fitness-4,fitness-1
15766,1.51372,2.30743,-4.99347,-24.275,NA,NA,NA,NA,NA,NA
15809,0.877017,1.36059,-5,NA,NA,-50.552,NA,NA,NA,NA
16143,1.91977,1.52258,-5,NA,NA,-27.552,NA,NA,NA,NA
16297,1.32554,2.34667,-3.47842,NA,NA,-50.333,NA,NA,NA,NA
16438,1.57156,1.81312,-4.81153,-9.957,NA,NA,NA,NA,NA,NA
16779,1.7462,1.89596,-3.82531,-10.838,NA,NA,NA,NA,NA,NA
16930,1.87438,0.60558,-4.35096,-50.941,NA,NA,NA,NA,NA,NA
17151,2.34468,0.703124,-3.69783,NA,-59.235,NA,NA,NA,NA,NA
17274,1.98902,1.75055,-5,NA,NA,NA,-28.251,NA,NA,NA
17584,1.29528,1.84761,-3.96699,-12.811,NA,NA,NA,NA,NA,NA
17704,1.58869,2.05778,-4.21081,NA,NA,-21.827,NA,NA,NA,NA
17955,1.72904,1.83206,-3.86879,NA,NA,-10.394,NA,NA,NA,NA
18149,2.40065,2.35106,-5,NA,-34.145,NA,NA,NA,NA,NA
18377,2.03689,2.07511,-4.16456,NA,NA,-11.061,NA,NA,NA,NA
18458,1.37327,2.89947,-4.10952,NA,-44.458,NA,NA,NA,NA,NA
18657,1.68847,2.32825,-4.709,NA,NA,-27.144,NA,NA,NA,NA
18867,1.82249,1.90803,-5,NA,NA,NA,NA,-32.225,NA,NA
19168,1.78848,2.03018,-5,NA,NA,NA,NA,-30.19,NA,NA
19224,1.86357,2.08981,-5,-19.536,NA,NA,NA,NA,NA,NA
19534,1.72211,1.42295,-4.56654,-5.533,NA,NA,NA,NA,NA,NA
19769,2.02066,1.62677,-5,-16.041,NA,NA,NA,NA,NA,NA
19940,1.90404,2.17829,-4.6198,NA,NA,NA,NA,-31.09,NA,NA
20101,1.96088,2.90336,-5,NA,NA,-56.981,NA,NA,NA,NA
20296,2.03579,2.16119,-4.4393,NA,-23.148,NA,NA,NA,NA,NA
20586,1.97497,2.78084,-4.76502,-35.883,NA,NA,NA,NA,NA,NA
20751,2.26702,2.0564,-3.91879,NA,-26.588,NA,NA,NA,NA,NA
20893,1.14174,1.36913,-4.0271,NA,NA,NA,-49.704,NA,NA,NA
21102,1.58994,1.75147,-4.21837,NA,-13.61,NA,NA,NA,NA,NA
21259,1.91524,1.55966,-4.64692,NA,NA,NA,NA,-28.846,NA,NA
21528,1.62851,1.2704,-3.4826,-33.552,NA,NA,NA,NA,NA,NA
21778,1.67756,2.00395,-5,NA,-18.145,NA,NA,NA,NA,NA
21886,0.928011,1.96758,-5,NA,-40.702,NA,NA,NA,NA,NA
